title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,manuscript_id_or_shelfmark,material,dimensions,trove_category,trove_record_type,trove_id,trove_url
"TERRIBLE ATROCITIES. BEATEN AND STARVED. GERMAN ''KULTUR. LONDON, Tuesday.",1916-01-05,,"The ""Times"" correspondent at Cairo states that all American woman relief worker describes further Armenian atrocities.",https://nla.gov.au/nla.news-article190928407?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,190928407,https://nla.gov.au/nla.news-article190928407?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"ARMENIAN HORRORS. ""INTELLECTUALS"" MASSACRED YOUNG TURKS' CRIMES. PARIS, Monday Evening.",1916-07-18,,"The special correspondent of Le Journal"" in Armenia since details of horrible massacres at Kharout. The Turks arrested the Armenian ""intell[?]"" and bound and shot them",https://nla.gov.au/nla.news-article120370047?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,120370047,https://nla.gov.au/nla.news-article120370047?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"TURKISH ATROCITIES. A HIDEOUS STORY. PETROGRAD, Thursday.",1915-07-24,,The Turkish atrocities against Armenians baffle description. The whole male population in the Bitilis region were massacred.,https://nla.gov.au/nla.news-article188227762?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,188227762,https://nla.gov.au/nla.news-article188227762?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"GUILTY TURKS Hushing Up Massacres LONDON,. Sunday Night.",1919-02-10,,Reuter's correspondent at Constantinople states that the hope is expressed that the salutary measures which the Allies applied in Constantinople,https://nla.gov.au/nla.news-article222640896?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,222640896,https://nla.gov.au/nla.news-article222640896?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
TURKISH ATROCITIES. ARMENIANS MASSACRED IN COLD BLOOD.,1915-02-26,,"During the occupation of Ardamuch, the Turks dragged through the streets 150 Armenians, and then cut their throats. Old Turkish residents killed in",https://nla.gov.au/nla.news-article235193965?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,235193965,https://nla.gov.au/nla.news-article235193965?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
WHY THE TURKS MASSACRE CENTURY OLD METHODS.,1922-12-08,,"The massacre in Smyra was the Turk applying his centuries-old method of warfare down at the water's edge of the Mediterranean,in public view. What",https://nla.gov.au/nla.news-article192988282?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,192988282,https://nla.gov.au/nla.news-article192988282?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRES AT TREBIZOND. TURKS KILL 10.000 ARMENIANS. Bucharest, Monday.",1916-05-23,,The Russian entry into Trebizond has thrown a light on the fate of the Armenian residents. Three Hundred of the leading families were ordered to procure,https://nla.gov.au/nla.news-article154676795?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,154676795,https://nla.gov.au/nla.news-article154676795?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRES ARMENIANS BETRAYED. TURKISH AMNESTY BROKEN. LONDON, Saturday.",1916-01-17,,Viscount Bryce has received a message from a friend in Armenia. Writing from Elistan on January 10 the correspondent says:—,https://nla.gov.au/nla.news-article109938463?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,109938463,https://nla.gov.au/nla.news-article109938463?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"PERSIAN OPERATIONS TURKS BESIEGE VAN. MASSACRES OF ARMENIANS. AMERICANS ENDANGERED. Petrograd, May 10.",1915-05-12,,"Djemal Fasha, supported by Kurdish tribesmen, is besieging the Armenian city of Van, which is held by Armenian insurgents.",https://nla.gov.au/nla.news-article92572726?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,92572726,https://nla.gov.au/nla.news-article92572726?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
Turkish Atrocities. WHOLESALE DECIMATION OF ARMENIANS.,1915-07-24,,"PETROGRAD, Thursday.—The Turkish atrocities against the Armenians are of a terrible description. The whole male population of the Bitlis region was massacred.",https://nla.gov.au/nla.news-article72084082?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,72084082,https://nla.gov.au/nla.news-article72084082?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
